yum_id,brand,street,city,state,zip,latitude,longitude,sales_volume,sales_year,closest_tb
127671,Domino's,738 VALLEY ST,LEWISTOWN,PA,17044,40.61186391,-77.56947106,1397000,2013,18.09671194
92258,Domino's,19 E 3RD ST,BETHLEHEM,PA,18015,40.61207798,-75.37832244,831000,2010,3.382792664
55117,Burger King-TR,1788 OAKLAND AVE,INDIANA,PA,15701,40.61296974,-79.17484791,1496000,2009,0.73780021
84213,McDonald's-TR,121 ELECTRIC AVE,LEWISTOWN,PA,17044,40.61445336,-77.56909375,2595000,2006,17.99401269
80133,McDonald's-TR,1510 OAKLAND AVE,INDIANA,PA,15701,40.61484287,-79.16911816,2528000,2010,0.411328236
398389,Little Caesars,715 PARK AVE,PLAINFIELD,NJ,7060,40.61494322,-74.41700145,1029000,2012,2.956583666
75438,Long John Silver's,1745 OAKLAND AVE,INDIANA,PA,15701,40.61502057,-79.17188768,719000,2008,0.539169931
289102,A & W,1745 OAKLAND AVE,INDIANA,PA,15701,40.61502057,-79.17188768,360000,2012,0.539169931
159979,Papa John's Pizza,1386 OAKLAND AVE,INDIANA,PA,15701,40.61513072,-79.16677736,845000,2004,0.296745523
122419,Wendy's,202 ELECTRIC AVE,LEWISTOWN,PA,17044,40.61542467,-77.56872185,1186000,2011,17.96496717
344820,Sir Pizza,2624 BRANDT SCHOOL RD,WEXFORD,PA,15090,40.61547,-80.0926964,559000,2012,3.593369001
80115,McDonald's-TR,940 WAYNE AVE,INDIANA,PA,15701,40.61555401,-79.15565146,2058000,2004,0.374555351
50668,Arby's,1257 OAKLAND AVE,INDIANA,PA,15701,40.61593867,-79.16568495,948000,2012,0.217782204
125535,Domino's,1176 GRANT ST,INDIANA,PA,15701,40.61651587,-79.16325892,698000,2012,0.096978973
100974,Checker's Drive-In,901 W EDGAR RD,LINDEN,NJ,7036,40.61684519,-74.25196383,976000,2013,1.650737517
92691,Domino's,1725 SAINT GEORGES AVE,RAHWAY,NJ,7065,40.61722063,-74.2839661,0,,1.868577753
55166,Burger King-TR,10955 PERRY HWY,WEXFORD,PA,15090,40.61745789,-80.05577591,956000,2012,2.423435625
86312,McDonald's-TR,234 W FRONT ST,PLAINFIELD,NJ,7060,40.6177001,-74.42523122,2264000,2013,3.428285487
386627,Popeyes,1302 HANOVER AVE,ALLENTOWN,PA,18109,40.61832287,-75.43495647,991000,2013,0.661603766
302456,Chick-Fil-A,319 PRATT DR,INDIANA,PA,15705,40.61886801,-79.15572467,1269000,2013,0.350539776
320711,Domino's,50 MOUNT BETHEL RD,WARREN,NJ,7059,40.61923428,-74.49582789,503000,2008,1.545206626
92238,Domino's,155 MICKLEY RD,WHITEHALL,PA,18052,40.620405,-75.4817567,750000,2011,1.250197185
143026,McDonald's-TR,539 US HIGHWAY 22 E,WHITEHOUSE STATION,NJ,8889,40.62122926,-74.76368565,922000,2012,9.751802671
275571,McDonald's-TR,200 WALMART DR,GIBSONIA,PA,15044,40.62167119,-79.94413234,2896000,2012,0.932576407
299704,Burger King-TR,1005 S STILES ST,LINDEN,NJ,7036,40.62215594,-74.24597352,0,,1.481458537
50661,Arby's,1617 FREEPORT RD,NATRONA HEIGHTS,PA,15065,40.6222852,-79.72720802,800000,2013,2.701870744
357350,Papa John's Pizza,319 E FRONT ST,PLAINFIELD,NJ,7060,40.62266697,-74.41987775,617000,2012,3.345551335
360506,Fox's Pizza Den,580 PHILADELPHIA ST,INDIANA,PA,15701,40.62277869,-79.14986444,278000,2012,0.737713467
363360,Sonic,517 GRANDVIEW DR,GIBSONIA,PA,15044,40.623023,-80.01447,406000,2009,2.842209718
389490,White Castle,1280 MACARTHUR RD,WHITEHALL,PA,18052,40.62347066,-75.48201288,1677000,2013,1.044435343
361550,Little Caesars,1878 UNION AVE,NATRONA HEIGHTS,PA,15065,40.62370954,-79.72255197,345000,2012,2.900983264
89869,Wendy's,757 UNION BLVD,ALLENTOWN,PA,18109,40.62417838,-75.44577529,1429000,2011,0.035288481
